address,value
0x423f7e311867fFa7FaA03A1d8f8801642f11a57d,300
0x67aD6B170E42aDee552D5c0b9195eaA1F0Dd9a03,13200
0xbc68073255E330204469e2bD7264C77Fc8091aD3,300
0xc875A15956b4A47c8e85791d9891577eEc762BC2,900
0xc2373689538848d7dcBFe9F29384B158863c4Ae7,300
0xA49476C44f6158e6E2818DFd02Ba49cca19F1f52,1500
0x7bc38dAabB362688190D33C48F9228A51a6fe0a4,300
0xCF3d9fd1633b81E4A550Df0e027E8c45AAd36A4d,900
0x05b318Ae39878bB07254C10B84517d73cb2cA8f6,1200
0x7207bd8B627bB5652Bb4d0cF2A1909A1F7E348d3,6300
0x3d19B7fBc5F28ab28CcFAe777ecc25F71CA5FDC2,900
0x5a707A440E0a34F11c3C259A20622440Cbed1970,300
0xca2A8AC57a3572f94659BbAF2aBddA773f64401c,300
0x797E0B9257695256C3D412B9518e9C533E3BA0ee,5700
0xAf4BF0DbE2E0451d1F11711277f7e04de257aFa5,300
0x7eAAfDA443d0EFe328C780865f1fF55EEA463068,4800
0x3B127578e5EA6961aF00Bd50ca7D42DbDdA5CbF6,3600
0x1eC653BB00c1E813793e9eFe969f594F45604aFc,3000
0x89F5eD31b53e891d5385620F4C8b0D721a813B34,300
0x0b7C75A9689A84854256c7d5dB7C87fEB1bbbb8b,900
0x393c58Ee071713aD94071526633bCFC99f293065,7200
0x0F7a5aC69921E92a408d4bd03c53F56cDD503eAF,300
0x354d88273e0CbE4b66f3207b2b2050b519e606fe,600
0x83bbe9CFCc205bb8E53cBa0b51d6db9386CE58B5,300
0xEc4f00434AbF2A775AdcD95AF99e4149cD6eC2D7,300
0x0D825EdDdAec24ea9c38E0133dBD776ED1Dc54D9,1800
0x115ab7dF6203254F88AFc851312a2859ea57cA7B,26100
0x1dE8355dA82CFB8D2453A5EC3FC4C871281ab4Bc,300
0x1c9bF0C11114E62927Bff92Bf2654DB5e4bE08b8,300
0x5A2Be5d7a3EcC2969331D86A3Ecc8d64569E1DD9,600
0xBf3AFa426BBdc318742649c9915f9D0B75116937,600
0x255749ce8ab1dd14c09787E7405A15FF17c24459,300
0x66d692bBeCAcAe3026834750e603291Fe4384161,300
0x1b7dCE4c0a2ae4272B7Ba741cE09a8A77c56c76E,300
0x4159f5DF51faB9b89335990FFFaf1Eb66008A4b1,600
0x74477c2FDbC59EaC66489BE9FE4bA164deA2475B,6000
0x1fbeAC3C94095Df0D96bC01c0F7351CC90a8Fff1,900
0x0AE7Ff8D6Eb586D77eff833049e0678d07583DDc,300
0x9bdfd3EB69dFE6B98560308D60AEcd3b2AC62032,5100
